NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Label
2,3,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,38,0,0,0,1,1,0
2,3,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,1,1,0
1,2,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,0,0,0,1,1,0
2,3,2,50,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,1,23,0,0,1,1,0
1,2,2,78,11,11,0,0,0,0,0,0,0,8,0,0,0,0,16,62,0,0,0,1,1,0
2,3,2,32,0,0,0,0,0,0,2,1,0,7,0,0,0,0,11,7,13,0,0,1,1,0
1,2,2,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,21,0,0,0,1,1,0
1,2,2,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,14,0,0,0,1,1,0
2,3,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,1,1,0
1,2,3,77,12,12,0,0,0,0,0,0,0,4,0,0,0,0,11,66,0,0,0,1,1,0
1,2,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,1,1,0
3,4,4,87,4,4,0,0,0,0,0,0,0,6,0,0,0,0,34,53,0,0,1,1,1,0
2,3,3,25,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,14,0,0,0,1,1,0
3,4,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,0,0,0,1,1,0
1,2,2,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,1,1,0
2,3,3,61,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,45,0,0,0,1,1,0
2,3,4,43,1,1,0,0,0,0,0,0,0,2,0,0,0,0,17,26,0,0,0,1,1,0
2,3,6,54,1,1,0,0,0,0,0,0,0,16,0,0,0,0,21,33,0,0,0,1,1,0
1,2,3,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,0,1,1,0
2,3,2,36,1,1,0,0,0,0,2,1,0,2,0,0,0,0,18,10,7,0,0,1,1,0
2,3,6,117,8,8,0,0,1,0,0,0,0,5,0,0,0,0,27,90,0,0,0,1,1,0
4,5,3,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,1,1,0
2,3,3,79,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,13,57,0,0,1,1,0
2,3,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,1,1,0
3,3,2,179,0,0,0,0,1,8,6,6,0,11,0,0,0,0,17,13,148,0,0,1,1,0
1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,1,1,0
2,3,2,40,0,0,0,0,0,0,1,0,0,5,0,0,0,0,17,15,7,0,0,1,1,0
4,5,5,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,42,0,0,0,1,1,0
1,2,4,40,0,0,0,0,1,0,0,0,0,6,0,0,0,0,14,26,0,0,0,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,1,0
1,2,3,36,1,1,0,0,0,0,0,0,0,7,0,0,0,0,14,22,0,0,0,1,1,0
2,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,1,1,0
1,2,6,39,1,1,0,0,0,0,0,0,0,7,0,0,0,0,12,27,0,0,0,1,1,0
1,2,3,38,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,27,0,0,0,1,1,0
3,4,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,1,1,0
1,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,1,1,0
2,3,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,1,1,0
3,4,3,61,0,0,0,0,0,0,1,0,0,15,0,0,0,0,20,15,25,0,0,1,1,0
3,4,3,63,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,52,0,0,0,1,1,0
1,2,4,42,3,3,0,0,0,0,0,0,0,7,0,0,0,0,10,32,0,0,0,1,1,0
2,3,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,1,1,0
1,2,2,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0,0,0,1,1,0
1,2,5,56,3,3,0,0,0,0,0,0,0,6,0,0,0,0,11,45,0,0,0,1,1,0
2,3,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,1,1,1,0
4,5,2,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,15,0,0,0,1,1,0
1,2,3,67,6,6,0,0,0,0,0,0,0,0,0,0,0,0,13,54,0,0,0,1,1,0
1,2,2,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,1,1,0
3,4,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,15,0,0,1,1,0
1,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,1,0
4,5,4,44,2,2,0,0,0,0,0,0,0,6,0,0,0,0,14,30,0,0,0,1,1,0
1,2,4,57,4,4,0,0,0,0,0,0,0,10,0,0,0,0,10,47,0,0,0,1,1,0
1,2,2,50,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,40,0,0,0,1,1,0
2,3,2,46,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,10,20,0,0,1,1,0
1,2,9,89,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,81,0,0,0,1,1,0
2,3,5,61,0,0,0,0,0,0,3,2,0,6,0,0,0,0,16,32,12,0,0,1,1,0
1,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,1,0
1,2,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,1,1,0
1,2,2,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,11,0,0,0,1,1,0
2,3,2,58,5,0,0,0,0,0,0,0,0,4,0,0,0,0,22,12,23,0,0,1,1,0
4,5,5,42,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,28,0,0,0,1,1,0
2,3,4,32,1,1,0,0,0,0,0,0,0,2,0,0,0,0,8,24,0,0,0,1,1,0
4,5,3,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,30,0,0,0,1,1,0
2,3,7,71,3,3,0,0,0,0,0,0,0,12,0,0,0,0,13,58,0,0,0,1,1,0
2,3,4,91,7,7,0,0,2,0,0,0,0,17,0,0,0,0,24,67,0,0,0,1,1,0
2,3,2,50,1,1,0,0,1,0,1,0,0,3,0,0,0,0,18,17,14,0,0,1,1,0
2,3,3,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,21,0,0,0,1,1,0
1,2,2,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,16,0,0,0,1,1,0
2,3,3,112,12,12,0,0,0,0,1,0,0,10,0,0,0,0,14,89,8,0,0,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,1,0
2,3,2,35,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0,0,0,1,1,0
1,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0
3,4,6,102,7,7,0,0,1,0,0,0,0,10,0,0,0,0,9,93,0,0,0,1,1,0
1,2,6,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,28,0,0,0,1,1,0
1,2,4,38,1,1,0,0,0,0,0,0,0,6,0,0,0,0,18,20,0,0,0,1,1,0
2,3,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,1,1,0
2,3,2,42,0,0,0,0,0,0,3,2,0,2,0,0,0,0,16,9,16,0,0,1,1,0
1,2,5,44,0,0,0,0,1,0,1,0,0,6,0,0,0,0,9,20,14,0,0,1,1,0
2,3,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,0,0,0,1,1,0
1,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,1,1,0
2,3,4,65,3,3,0,0,0,0,0,0,0,3,0,0,0,0,13,52,0,0,1,1,1,0
1,2,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0,1,1,0
1,2,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,1,1,0
3,4,3,64,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,54,0,0,0,1,1,0
1,2,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,1,1,0
1,2,6,68,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,54,0,0,0,1,1,0
2,3,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,1,0
3,4,4,70,6,6,0,0,0,0,0,0,0,6,0,0,0,0,23,47,0,0,1,1,1,0
2,3,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,1,1,0
1,2,4,38,2,2,0,0,0,0,0,0,0,8,0,0,0,0,11,27,0,0,0,1,1,0
2,3,4,46,0,0,0,0,2,0,0,0,0,2,0,0,0,0,13,33,0,0,0,1,1,0
2,3,3,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,15,0,0,0,1,1,0
2,3,3,52,0,0,0,0,0,0,1,0,0,6,0,0,0,0,18,23,10,0,0,1,1,0
1,2,5,91,1,1,0,0,0,0,0,0,0,1,0,0,0,0,10,81,0,0,0,1,1,0
3,4,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,1,1,0
2,3,2,47,1,1,0,0,2,0,0,0,0,0,0,0,0,0,17,30,0,0,0,1,1,0
1,2,4,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,23,0,0,0,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,1,0
2,3,6,69,2,2,0,0,0,0,0,0,0,3,0,0,0,0,17,52,0,0,1,1,1,0
2,3,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,1,1,0
2,3,2,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,14,0,0,0,1,1,0
2,3,2,283,3,1,0,0,1,32,2,1,0,165,0,0,0,0,12,13,257,0,0,1,1,0
1,2,2,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,7,0,0,1,1,0
2,3,4,92,8,8,0,0,2,0,0,0,0,19,0,0,0,0,25,67,0,0,0,1,1,0
3,4,2,86,0,0,0,0,1,0,3,2,0,6,0,0,0,0,17,29,39,0,0,1,1,0
4,5,3,69,1,1,0,0,0,0,3,2,0,5,0,0,0,0,24,16,28,0,0,1,1,0
2,3,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,0,0,0,1,1,0
1,2,3,39,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,0,0,1,1,0
3,4,3,79,6,6,0,0,0,0,0,1,0,16,0,0,0,0,21,58,0,0,0,1,1,0
1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,1,1,0
2,3,4,43,2,2,0,0,0,0,0,0,0,6,0,0,0,0,17,26,0,0,0,1,1,0
3,4,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,0,0,0,1,1,0
1,2,4,39,0,0,0,0,0,0,1,0,0,6,0,0,0,0,12,17,9,0,0,1,1,0
2,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,1,1,0
1,2,2,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,1,1,0
1,2,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,1,1,0
3,4,2,55,0,0,0,0,0,0,1,0,0,9,0,0,0,0,29,12,13,0,0,1,1,0
2,3,3,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,13,0,0,0,1,1,0
1,2,2,23,1,1,0,0,0,0,0,0,0,10,0,0,0,0,10,13,0,0,0,1,1,0
2,3,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,1,1,0
1,2,3,37,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,0,1,1,0
3,4,5,65,1,1,0,0,0,0,0,0,0,6,0,0,0,0,27,38,0,0,1,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,1,1,0
1,2,2,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,13,0,0,0,1,1,0
3,4,3,58,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,43,0,0,0,1,1,0
2,3,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,1,1,0
1,2,5,53,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,38,0,0,0,1,1,0
2,3,2,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,12,0,0,0,1,1,0
1,2,4,24,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,16,0,0,0,1,1,0
4,5,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,0,0,1,1,1,0
2,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,1,1,0
1,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,1,1,0
3,4,2,43,0,0,0,0,0,0,0,0,0,7,0,0,0,0,30,13,0,0,0,1,1,0
2,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,1,1,0
1,2,3,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,22,0,0,0,1,1,0
1,2,4,54,1,1,0,0,0,0,1,0,0,12,0,0,0,0,12,32,9,0,0,1,1,0
2,3,2,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,12,0,0,0,1,1,0
4,5,3,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,23,0,0,0,1,1,0
1,2,5,81,8,8,0,0,0,0,0,0,0,8,0,0,0,0,10,71,0,0,1,1,1,0
2,3,3,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,33,0,0,0,1,1,0
3,4,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,0,0,1,1,0
1,2,3,77,7,7,0,0,0,0,0,0,0,4,0,0,0,0,21,56,0,0,0,1,1,0
1,2,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,1,0
3,4,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,0,0,1,1,0
1,2,4,34,2,2,0,0,0,0,0,0,0,4,0,0,0,0,23,11,0,0,0,1,1,0
3,4,3,61,0,0,0,0,0,0,1,0,0,15,0,0,0,0,20,15,25,0,0,1,1,0
3,4,3,61,0,0,0,0,0,0,1,0,0,14,0,0,0,0,20,15,25,0,0,1,1,0
3,4,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,1,1,1,0
1,2,4,113,1,1,0,0,10,0,0,0,0,6,0,0,0,0,13,100,0,0,0,1,1,0
1,2,4,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,1,1,0
2,3,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,1,1,1,0
3,3,2,58,6,0,0,0,0,0,1,0,0,16,0,0,0,0,10,14,33,0,0,1,1,0
1,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,1,1,1,0
2,3,2,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,1,1,0
2,3,3,46,0,0,0,0,0,0,1,0,0,5,0,0,0,0,17,21,7,0,0,1,1,0
1,2,3,57,0,0,0,0,0,2,0,0,0,5,0,0,0,0,9,48,0,0,0,1,1,0
2,3,3,43,0,0,0,0,2,0,0,0,0,3,0,0,0,0,11,32,0,0,0,1,1,0
3,4,3,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,1,1,0
1,2,2,31,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,6,13,0,0,1,1,0
1,2,6,90,6,6,0,0,0,0,0,0,0,13,0,0,0,0,12,78,0,0,0,1,1,0
2,3,3,81,6,6,0,0,0,0,0,0,0,8,0,0,0,0,19,62,0,0,0,1,1,0
2,3,2,75,0,0,0,0,1,0,3,4,0,7,0,0,0,0,14,10,50,0,0,1,1,0
1,2,5,42,0,0,1,0,0,0,0,0,0,20,0,0,0,0,10,32,0,0,0,1,1,0
2,3,3,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,13,0,0,0,1,1,0
2,3,2,36,0,0,0,0,0,1,1,0,0,2,0,0,0,0,12,9,14,0,0,1,1,0
1,2,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,1,1,0
1,2,3,52,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,35,0,0,0,1,1,0
2,3,3,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,16,0,0,0,1,1,0
2,3,3,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,1,1,0
2,3,4,57,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,44,0,0,1,1,1,0
1,2,2,31,0,0,0,0,0,0,1,0,0,3,0,0,0,0,11,6,13,0,0,1,1,0
1,2,4,64,4,4,0,0,0,0,0,0,0,10,0,0,0,0,10,54,0,0,0,1,1,0
1,2,4,43,2,2,0,0,0,0,0,0,0,1,0,0,0,0,11,32,0,0,0,1,1,0
1,2,6,159,14,14,0,0,0,0,0,0,0,0,0,0,0,0,22,137,0,0,0,1,1,0
2,3,4,43,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,33,0,0,0,1,1,0
1,2,4,36,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,22,0,0,0,1,1,0
1,2,6,107,10,10,0,0,0,0,0,0,0,14,0,0,0,0,19,88,0,0,0,1,1,0
2,3,3,45,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,26,0,0,0,1,1,0
1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,1,1,0
1,2,4,46,1,1,0,0,0,0,0,0,0,9,0,0,0,0,12,34,0,0,0,1,1,0
2,3,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,1,0
1,2,4,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,22,0,0,0,1,1,0
2,3,2,42,0,0,0,0,0,0,2,1,0,7,0,0,0,0,16,11,14,0,0,1,1,0
2,3,3,51,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,38,0,0,0,1,1,0
2,3,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,1,1,0
4,5,4,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,24,0,0,0,1,1,0
2,3,3,84,8,8,0,0,0,0,0,0,0,5,0,0,0,0,18,66,0,0,0,1,1,0
3,4,5,75,3,3,0,0,0,0,0,0,0,0,0,0,0,0,20,55,0,0,1,1,1,0
2,3,5,68,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,49,0,0,0,1,1,0
1,2,2,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,6,13,0,0,1,1,0
2,3,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,1,1,0
1,2,6,111,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,99,0,0,0,1,1,0
2,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,0,0,1,1,1,0
1,2,3,35,2,2,0,0,0,0,0,0,0,2,0,0,0,0,16,19,0,0,0,1,1,0
2,3,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,1,1,0
2,3,3,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,12,0,0,0,1,1,0
2,3,4,81,7,7,0,0,0,0,0,0,0,6,0,0,0,0,17,64,0,0,0,1,1,0
1,2,8,133,17,17,0,0,0,0,0,0,0,14,0,0,0,0,25,108,0,0,0,1,1,0
2,3,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,1,1,0
2,3,2,76,0,0,0,0,0,0,3,3,0,4,0,0,0,0,11,14,50,0,0,1,1,0
1,2,2,31,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,6,13,0,0,1,1,0
4,3,3,92,1,0,0,0,0,0,4,6,0,12,0,0,0,0,11,14,66,0,0,1,1,0
2,3,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,0,0,0,1,1,0
1,2,3,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,1,1,0
1,2,3,26,1,1,0,0,0,1,0,0,0,2,0,0,0,0,10,16,0,0,0,1,1,0
2,3,3,51,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,35,0,0,0,1,1,0
2,3,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,1,1,0
1,2,5,51,1,1,0,0,0,0,0,0,0,6,0,0,0,0,14,37,0,0,0,1,1,0
1,2,3,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,17,0,0,0,1,1,0
3,4,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,0,1,1,1,0
2,3,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,1,1,0
2,3,3,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,5,0,0,1,1,1,0
2,3,3,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,17,0,0,0,1,1,0
3,4,5,41,0,0,0,0,0,0,0,0,0,7,0,0,0,0,16,25,0,0,0,1,1,0
2,3,2,54,6,6,0,0,0,0,0,0,0,1,0,0,0,0,17,37,0,0,0,1,1,0
1,2,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,0,0,0,1,1,0
2,3,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,1,1,0
1,2,6,133,17,17,0,0,0,0,0,0,0,8,0,0,0,0,13,120,0,0,0,1,1,0
1,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,1,1,0
2,3,2,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,0,1,1,0
1,2,3,43,2,2,0,0,0,0,0,0,0,7,0,0,0,0,18,25,0,0,0,1,1,0
2,3,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,0,0,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,1,0
2,3,5,101,11,11,0,0,0,0,0,0,0,8,0,0,0,0,24,77,0,0,0,1,1,0
2,3,3,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,16,0,0,0,1,1,0
1,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0
2,3,3,59,2,2,0,0,2,0,0,0,0,2,0,0,0,0,10,49,0,0,0,1,1,0
